gyro_rad[0],gyro_rad[2],xyz[0],hover_thrust
-0.006328777,0.08324368,0.001594148,0.23344687
0.013054493,0.12196159,0.006816778,0.23344687
0.006156601,0.10398388,0.009696662,0.22495526
0.009315699,0.12196159,0.004896533,0.22807127
-0.014973926,0.0626387,0.005636845,0.22352591
0.013054493,0.12196159,0.009808432,0.2253991
0.006315582,0.109674335,0.008467469,0.23285562
-0.014973926,0.0626387,0.004481081,0.23108265
-0.011518084,0.07966384,0.001594148,0.22325596
-0.014973926,0.0626387,0.006489422,0.22439915
0.00861311,0.12196159,0.008840833,0.22325596
-0.008354917,0.07983495,0.010524206,0.22325596
-0.014279671,0.07073143,0.006393481,0.22943336
0.010192864,0.11094858,0.009680495,0.22976157
0.001726158,0.09783158,0.00875945,0.22455034
0.013054493,0.12196159,0.00873613,0.22838908
0.013054493,0.12196159,0.00750722,0.22325596
-0.013491236,0.0626387,0.010524206,0.2237778
-0.007580556,0.07608913,0.007885616,0.23344687
-0.01058089,0.06838375,0.008429546,0.23143
-0.006009348,0.084667414,0.004349276,0.22552073
-0.005144782,0.06923014,0.001594148,0.22983372
0.005700357,0.11508049,0.006036572,0.22765872
-0.009077042,0.09046753,0.001594148,0.23344687
-0.014973926,0.0626387,0.008085791,0.22973496
0.027956188,-0.04325051,0.000237569,0.2365021
0.03321041,-0.041259475,0.001633957,0.23648873
0.023095844,-0.04167796,0.000878871,0.23523024
0.02572389,-0.041919045,0.000679128,0.23642835
0.038618937,-0.024201876,-0.001087868,0.2385679
0.041083783,-0.024201876,0.002108102,0.23560418
0.041083783,-0.024201876,-0.000383265,0.23722602
0.04040028,-0.04363726,0.000712819,0.23615296
0.04037848,-0.03422896,0.000510167,0.23752567
0.04061602,-0.03400763,-0.000491124,0.23544419
0.03684123,-0.039845966,-0.000592742,0.2347443
0.038235933,-0.02594757,0.0012585,0.23631081
0.031353667,-0.039734945,0.001282904,0.2374566
0.032724023,-0.030287132,0.000802718,0.23566556
0.023095844,-0.046027362,0.002108102,0.2385679
0.023095844,-0.046027362,0.001742747,0.23601444
0.03563191,-0.024201876,-0.001087868,0.23678921
0.026473165,-0.035418406,0.002108102,0.2347443
0.03145747,-0.033000365,0.002108102,0.2347443
0.023095844,-0.04377956,-0.001087868,0.23847823
0.025735453,-0.03682463,-0.001087868,0.2385679
0.02427271,-0.03603881,-0.001087868,0.2385679
0.03198485,-0.045089833,0.002108102,0.23523295
0.026476964,-0.04092066,0.002093833,0.2347443
0.024346739,-0.0398433,-0.001087868,0.23845331
0.014034167,0.007183783,0.004828028,0.23817398
0.020196803,0.016089797,0.003380116,0.24013044
0.024157224,0.024308845,0.005072054,0.24011374
0.024157224,0.020455658,0.004438702,0.23817398
0.014528312,0.006689211,0.008362405,0.23889375
0.011763589,0.016351923,0.007473994,0.23915553
0.015210345,0.029977322,0.00596204,0.23937017
0.014580354,0.012577988,0.007795434,0.23840356
0.013373785,0.012310252,0.009062449,0.23972914
0.015206344,0.006761745,0.003380116,0.23925638
0.017849773,0.01639317,0.003380116,0.23913008
0.011763589,0.019766495,0.004949085,0.23911509
0.016215011,0.011082202,0.004971273,0.23870763
0.013780758,0.006689211,0.00350247,0.23990291
0.019488342,0.03548915,0.003532361,0.24013044
0.024157224,0.032663837,0.005404759,0.23817398
0.024157224,0.020211287,0.003430657,0.23882508
0.0189811,0.010614723,0.005370751,0.23860708
0.01966349,0.03548915,0.005005103,0.23865905
0.013744824,0.024614602,0.00721154,0.2390211
0.01682026,0.03514193,0.009062449,0.23817398
0.024157224,0.03548915,0.00535294,0.24013044
0.021554686,0.03548915,0.006021138,0.24013044
0.011763589,0.006689211,0.009062449,0.24006331
0.011763589,0.008405983,0.009062449,0.23877308
0.046275407,0.02101691,-0.059394184,0.24272992
0.037464753,0.011239141,-0.04528417,0.24220455
0.04933248,0.023305567,-0.051367965,0.2432905
0.041067988,0.01799158,-0.039614655,0.24222106
0.033852864,0.01222609,-0.06329174,0.2436646
0.04933248,0.023305567,-0.084826946,0.24252592
0.03464076,0.011159241,-0.04353008,0.24367565
0.04746522,0.01894831,-0.08586323,0.24220455
0.035231635,0.012034357,-0.058436688,0.24220455
0.04933248,0.021859989,-0.039614655,0.24282597
0.036746517,0.015090957,-0.091933526,0.24261536
0.03475724,0.014288135,-0.058717567,0.24355401
0.033852864,0.010389173,-0.0634176,0.24280071
0.035296723,0.010697782,-0.08685984,0.24220455
0.04933248,0.023305567,-0.091933526,0.24290454
0.035561085,0.010389173,-0.039614655,0.24317597
0.0436147,0.020160943,-0.042841952,0.24308963
0.039196864,0.014211021,-0.047113795,0.24303724
0.033852864,0.010389173,-0.091933526,0.2434534
0.033852864,0.010389173,-0.06936799,0.24333204
0.04579535,0.022162393,-0.091933526,0.24367565
0.04345469,0.015516408,-0.04156707,0.24285291
0.038592964,0.016049094,-0.04981744,0.24367565
0.047379866,0.023305567,-0.080946356,0.24276039
0.04933248,0.020605467,-0.057494584,0.24367565
-0.016564883,-0.007863291,0.14594966,0.2434541
-0.010529786,-0.008892879,-0.052374773,0.24384882
-0.016060144,-0.010141909,0.1570798,0.24295285
-0.01055561,-0.010257885,-0.079642326,0.24384882
-0.01760182,-0.009343423,-0.018418573,0.24282035
-0.012731053,-0.007440542,0.18561655,0.24319753
-0.01146555,-0.008494504,0.13895938,0.24293897
-0.014347307,-0.0091158,0.18561655,0.2436459
-0.012984127,-0.009829,0.083932415,0.24313977
-0.01760182,-0.010691675,-0.079642326,0.24339962
-0.01760182,-0.008445226,-0.079642326,0.2437768
-0.011884108,-0.008745506,0.15172231,0.24283153
-0.01760182,-0.010691675,0.02343231,0.24384882
-0.009883012,-0.008073382,0.013925791,0.24299842
-0.015415236,-0.008321963,-0.050168306,0.24338049
-0.012878835,-0.009222113,0.18561655,0.24384882
-0.014156178,-0.008601137,-0.07844194,0.2427619
-0.015103012,-0.010691675,-0.0635084,0.2427619
-0.009883012,-0.008933559,-0.047246404,0.24294797
-0.016708553,-0.007440542,0.113866,0.24309105
-0.012197457,-0.010691675,0.062287968,0.24315315
-0.009883012,-0.008208714,0.1570836,0.24281141
-0.014053941,-0.009204492,-0.07606124,0.24361944
-0.009883012,-0.008444086,0.17933667,0.24348757
-0.009883012,-0.010093413,0.007036086,0.2429997
-0.013140172,0.012455856,0.038561024,0.24206889
-0.014950017,0.011405028,0.017752849,0.24220696
-0.008149281,0.00914178,-0.020605493,0.24206889
-0.009848677,0.009830311,0.011442196,0.24239627
-0.009681545,0.009315826,0.026724093,0.24253896
-0.006571595,0.01208692,0.10233325,0.24279335
-0.012113757,0.012455856,-0.010903444,0.24206889
-0.014950017,0.012455856,-0.027934328,0.24262628
-0.006571595,0.010832109,-0.027934328,0.24279335
-0.006571595,0.008965343,0.023752544,0.24279335
-0.006571595,0.01012627,0.10233325,0.24206889
-0.010162905,0.009181827,0.10233325,0.24242985
-0.009955101,0.008133769,0.051610872,0.24279335
-0.013331831,0.00966458,0.10233325,0.24279335
-0.009722881,0.008133769,0.017715842,0.24241361
-0.012080438,0.011725575,0.08362168,0.24226585
-0.013085142,0.010535166,-0.02546167,0.2427235
-0.010349005,0.012455856,0.03639544,0.24262428
-0.011429943,0.009438962,0.06831915,0.24232367
-0.014806546,0.012383074,0.08792012,0.24206889
-0.012540005,0.008133769,0.097211376,0.2421748
-0.009957559,0.008133769,0.08200525,0.24257573
-0.014950017,0.008133769,-0.027934328,0.2427597
-0.007923797,0.00934267,-0.005672444,0.24259129
-0.013148524,0.011595324,0.095053226,0.24222702
0.01949732,0.020241909,-0.056476668,0.24275291
0.016463943,0.018546708,-0.050608277,0.24233326
0.018669158,0.020810679,-0.06725112,0.2422923
0.014196195,0.021371592,-0.06510219,0.2422923
0.01327908,0.018062323,-0.075331524,0.24254812
0.015886761,0.019845672,-0.057922512,0.24275962
0.01327908,0.018636718,-0.062412538,0.24247605
0.015117049,0.01989209,-0.04840955,0.24248728
0.013780914,0.021347962,-0.05420658,0.24270338
0.01949732,0.019344844,-0.06987359,0.24243714
0.01739315,0.020476975,-0.075331524,0.2422923
0.017243922,0.021371592,-0.064305305,0.2424853
0.014284223,0.021371592,-0.061122477,0.24261014
0.014309816,0.01797675,-0.04840955,0.24238011
0.01327908,0.018103354,-0.07398666,0.24270047
0.018297985,0.01797675,-0.075331524,0.24279971
0.018294431,0.020866558,-0.075331524,0.24279971
0.01327908,0.01797675,-0.04840955,0.24232961
0.01327908,0.019447573,-0.057869837,0.24239548
0.01791235,0.020059213,-0.052163236,0.24235106
0.01909054,0.019770928,-0.04840955,0.24249847
0.016270995,0.01991593,-0.050440922,0.24279971
0.01949732,0.018047124,-0.065509915,0.2424403
0.019146532,0.018656023,-0.06934662,0.24279971
0.014989011,0.021371592,-0.075331524,0.24248521
-0.023761235,0.012894526,-0.10415566,0.24326457
-0.0274937,0.010614783,-0.01934908,0.24302472
-0.026112966,0.013073286,0.012105163,0.24310234
-0.029000767,0.009996653,0.051404208,0.24275704
-0.024883233,0.009411613,-0.042088952,0.24289317
-0.020824976,0.012736753,-0.10415566,0.24301332
-0.029346898,0.011367664,0.035818793,0.2428879
-0.029346898,0.009411613,-0.026785273,0.24326457
-0.02726753,0.010164939,-0.10415566,0.24326457
-0.028300665,0.012556806,0.022765055,0.24306668
-0.029346898,0.009623483,0.051404208,0.24298798
-0.020824976,0.013073286,0.051404208,0.24279232
-0.024413854,0.011711001,0.051404208,0.24275704
-0.020964347,0.013073286,-0.055283014,0.24294783
-0.023005217,0.009411613,-0.09852047,0.24326457
-0.022977576,0.009661526,0.037558816,0.24319561
-0.022141576,0.012020916,0.006138817,0.24275704
-0.020824976,0.011646435,0.013263602,0.2427751
-0.028337032,0.013073286,0.051404208,0.24300745
-0.029346898,0.011360675,-0.08359115,0.24281783
-0.020824976,0.010305777,0.048622545,0.24326457
-0.022640638,0.009844251,-0.10415566,0.24282874
-0.02141206,0.010675296,-0.10415566,0.24326457
-0.029346898,0.009411613,-0.008736324,0.24290721
-0.020824976,0.010616116,-0.048496243,0.24275704
0.00228296,-0.017344031,-0.02685526,0.24296318
-0.04517538,-0.022046633,-0.000425242,0.24281764
-0.033200674,-0.017875,-0.02685526,0.24287754
0.00228296,-0.017344031,0.19226709,0.24296318
-0.04517538,-0.022046633,0.5616994,0.2428815
-0.02288188,-0.019182518,-0.02685526,0.24257217
