gyro_rad[0],gyro_rad[1],gyro_rad[2]
0.05479722,0.07192756,0.0366752
0.03394025,0.046448298,0.05073561
0.02252236,0.031745218,0.056312077
0.01473406,-0.008880548,0.051715363
0.0053065494,-0.025895096,0.0438645
0.009684645,-0.038031496,0.037984394
0.007308729,-0.072773926,0.026906548
0.012118936,-0.062342517,0.03775297
0.017665736,-0.089272924,0.030220259
0.021218635,-0.10550038,0.021193137
0.025048248,-0.07922787,0.031863164
0.026196636,-0.051831342,0.04508313
0.024031915,-0.043108173,0.04516845
0.018643051,-0.051374204,0.044069525
0.014307827,-0.067793794,0.0355802
0.019213863,-0.06776921,0.044401795
0.018647827,-0.045453943,0.046458982
0.0104121715,-0.061447524,0.034778748
0.011142783,-0.04916229,0.040051106
0.011779375,-0.042699672,0.042347156
0.007286094,-0.055391423,0.04413424
0.011780001,-0.03616988,0.050838973
0.014749095,-0.042193554,0.04636061
0.019872494,-0.04404544,0.047711518
0.0114823505,-0.027433135,0.044766515
0.04239987,0.06713781,0.052147277
0.01752603,0.046869516,0.06629808
-0.001151666,0.011796907,0.05628726
-0.0014711693,0.009050086,0.05853247
-0.011530228,-0.02024854,0.033412278
-0.0077938065,-0.018611573,0.0454674
-0.005593419,-0.013422154,0.048790462
-0.0022045076,0.0016734526,0.060143933
-0.0017098933,0.006829858,0.060554355
-0.0037167296,0.014329381,0.06270915
-0.0012951642,0.013749294,0.06567432
-0.00065206736,0.00094015896,0.058240116
-0.00020335615,0.01252801,0.064799696
-0.0007681474,0.01134748,0.062679864
-0.0036666095,0.010791786,0.05970236
-0.0077659264,0.013867617,0.05945631
-0.0064698607,0.0069490075,0.054738574
-0.004218571,-0.0026899502,0.051014192
-0.01299154,-0.0075674057,0.04433289
-0.0062838495,-0.01818443,0.041187905
-0.0056543425,-0.02260343,0.040758483
-0.0044136196,-0.020416059,0.041973718
-0.0007800609,-0.0025002211,0.052936696
0.0005528182,-0.010251544,0.052102566
-0.0018500388,0.0054144785,0.060202874
0.03293784,0.02998884,-0.007578004
0.0070553273,-0.005938247,-0.034072995
0.004186608,-0.0030926988,-0.019548062
0.0010126308,-0.01054962,-0.03236645
0.00021799654,-0.004935384,-0.024911344
-0.0023695603,-0.009565361,-0.035806205
0.00530684,-0.0049387068,-0.024252746
0.0043594018,-0.0050901473,-0.02629428
-0.0027277768,-0.011786416,-0.050500516
0.004885599,-0.01107917,-0.042888943
0.004226975,-0.006522365,-0.044247128
-8.031726e-06,-0.004425131,-0.03767006
0.005234666,-0.002351351,-0.027073987
0.004300706,-0.0052373707,-0.034661174
0.0054391026,-0.0023285449,-0.028071921
-0.00033183396,-0.00883916,-0.038902797
0.0039078966,-0.007986918,-0.040611498
0.0038658157,-0.002282299,-0.031995256
0.0043385774,-0.0026367307,-0.031572007
0.006805107,-0.004300013,-0.030671492
0.004006788,-0.003997557,-0.030517355
0.0047367737,-0.0023530275,-0.024585709
0.0057318285,0.0016505197,-0.018856741
0.00024128705,-0.010271564,-0.040241353
0.0027749985,-0.002693519,-0.036297493
0.013622217,-0.026305221,0.029891845
0.003947243,-0.05194504,0.040454254
-0.0045517087,-0.062902845,0.037504956
-0.006803423,-0.06561381,0.031903222
-0.008218147,-0.06433164,0.025441967
-0.004041627,-0.060744233,0.029511679
-0.0011438727,-0.055678435,0.032837607
-0.0039885044,-0.059966825,0.031260148
