gyro_rad[0],gyro_rad[1]
-0.10523307,-0.057258926
-0.08732123,-0.032636285
-0.078212604,-0.016014174
-0.03977167,-0.0023434833
-0.023914188,0.0009260699
-0.010345787,0.0043092147
-0.014005765,0.0031403825
0.0042556077,0.019613214
-0.017786473,0.01294107
-0.03349997,0.008620948
-0.0291588,0.02023071
-0.017777726,0.017131098
-0.010345444,0.017872468
-0.00047121942,0.010610156
-0.020597816,0.0069508925
-0.045343526,0.006005235
-0.045083188,0.0059682876
-0.04473877,0.008987434
-0.017741218,0.016623124
-0.014909044,0.016595073
0.010303795,0.01953306
0.0011722296,0.022090308
-0.01747115,0.01567407
-0.0074160993,0.01593171
-0.023603767,0.015124224
-0.10390997,-0.05786891
-0.066995874,-0.030246884
-0.022161767,-0.021733917
-0.014705971,-0.014843419
-0.0051769763,-0.010372587
-0.0116817355,-0.005866997
-0.0064095855,-0.008991368
0.00013795495,-0.013992317
0.005219236,-0.014839359
-0.004720345,-0.0064510778
0.0054977685,-0.009876013
-0.003965646,-0.009588741
-0.004428953,-0.00097607076
-0.009578109,0.003363058
-0.009430945,0.000800468
-0.002974227,-0.0027916357
0.007352069,-0.004687421
0.014149219,-0.0011829212
0.024466842,-0.006348625
0.018336892,-0.009045057
0.016575098,-0.011821881
0.0139327645,-0.0049291626
0.025895879,-0.011863679
0.018651888,-0.007501796
0.0077216327,-0.0045664683
-0.08083267,-0.036430888
-0.03950043,-0.013131112
-0.033818997,-0.001746811
-0.013515174,0.0024053976
-0.0066546053,0.0061133504
-0.003918618,0.011802062
-0.0009097904,0.0112598315
0.042013854,0.009628899
0.017569348,0.0040755942
0.013829097,0.003383182
0.007446274,0.0002912879
-0.009593695,0.006325133
-0.003620565,0.010710545
-0.0151788,0.011762597
0.0046114624,0.009266287
-0.0077952147,0.010610655
-0.010337055,0.010720611
-0.011488333,0.012078643
-0.011106417,0.016285032
0.0028759986,0.019279338
-0.0031540394,0.01559376
0.016096845,0.014504388
0.0090792775,0.012202509
-0.0016406327,0.010879159
-0.0050243437,0.012111187
-0.056475215,-0.05587419
-0.018997736,-0.043616977
-0.0016022474,-0.044177346
0.0035106987,-0.048533104
0.014253944,-0.0515239
0.013570711,-0.051889285
0.014870271,-0.057622716
0.0067661703,-0.054437157
-0.0023507923,-0.05765686
0.0026645213,-0.059423983
-0.0049316287,-0.0560934
-0.0053385794,-0.05559611
-0.0076711327,-0.05130207
0.020211503,-0.05279665
0.00870122,-0.05464277
0.006746739,-0.05488176
0.003965184,-0.05093929
-0.0031646788,-0.049946338
-0.0030543953,-0.050912116
-0.0031227022,-0.048401546
0.015503287,-0.058996744
0.008425191,-0.055933148
-0.001636222,-0.057056684
-0.00969401,-0.05533037
-0.011676297,-0.054042727
-0.03041663,-0.029131439
0.010664567,-0.009184599
0.047972187,0.0070989206
0.030908093,-0.0028804317
0.010413811,-0.008166023
0.016771585,-0.006989993
0.009662405,-0.0043754354
-0.0042607635,-0.008116029
0.017487347,0.0004368648
0.009851545,-0.0032481402
-2.8818846e-05,-0.005207829
-0.007177688,-0.0066077113
0.0043676943,-0.0038163587
0.00147897,-0.005796626
0.0038980246,-0.0052832738
0.010210559,-0.0024096742
