gyro_rad[0],hover_thrust,xyz[0],gyro_rad[2]
0.008718823,0.2095902,-7.41E-05,-0.000272506
0.010674908,0.20897473,-6.39E-05,-0.000131531
-0.000550493,0.208286,0.000564525,0.00177228
0.05190868,0.21362934,0.000502466,-0.03491972
-0.04656173,0.21369384,0.000534548,-0.0960519
0.011084924,0.21687685,0.00890035,-0.06101592
0.040559888,0.2206844,-0.014522902,0.041240685
0.020709729,0.2218348,0.012760786,0.14349453
0.011241766,0.2274239,0.00710029,0.15123606
0.03967703,0.22858205,-0.022754418,0.059994616
-0.036524575,0.22941162,0.00742141,-0.025519254
-0.007351716,0.22922115,0.022075118,-0.12934306
0.00706796,0.23265384,-0.02542136,-0.11006283
-0.012653695,0.23286858,0.00763511,-0.07805889
0.027938155,0.2331284,0.013194425,-0.038789447
0.002144113,0.23494358,-0.01164775,-0.02084951
0.030409511,0.23674074,-0.011330295,0.017989764
-0.024208637,0.23690142,0.005146035,0.047781345
0.066926874,0.23621617,0.00082395,0.063781925
-0.019597704,0.236805,0.003289067,0.08140071
0.06047486,0.23603314,0.009509072,0.075363144
-0.045007262,0.23674734,0.002549378,0.05869898
0.014785638,0.23767306,-0.002964554,0.047080375
-0.005154151,0.23839219,-0.013638227,0.018323615
-0.029324856,0.23719963,-0.007220259,-0.004602855
0.046895873,0.23660833,0.001724072,-0.02547419
-0.01387779,0.23626825,0.00068125,-0.055038385
0.0316165,0.23614736,0.011384037,-0.07344122
0.033100314,0.23532969,0.007796439,-0.07400083
-0.010039919,0.23521611,-0.000938198,-0.06667137
0.00614862,0.23559712,0.001130945,-0.046697974
-0.004540041,0.23593177,-0.002769406,-0.026909458
-0.004602952,0.23497345,-0.006623261,-0.01677979
-0.000578121,0.23463108,-0.003538669,0.006258297
-0.011585726,0.23428097,-0.00431781,0.017659921
0.022789221,0.23491658,-0.003624567,0.0377799
0.013131603,0.23513113,0.001570202,0.041245416
0.017613512,0.23632155,0.0009575,0.03691212
0.022339512,0.23662859,0.006686398,0.04550047
0.017507384,0.23586287,0.003213293,0.04076032
0.034115236,0.23679484,-0.003014189,0.03500023
0.020380076,0.23857379,0.004257761,0.005150104
0.010105531,0.23894425,0.002110495,-0.025669489
-0.001068199,0.23822233,-0.010026859,-0.025308177
-0.009303681,0.23767255,-0.002560623,-0.01721942
-0.016714334,0.2376794,-0.004196081,-0.025385488
-0.02115558,0.23860557,-5.66E-05,-0.032504942
-0.004881833,0.23931512,0.007359359,-0.042769708
0.005096879,0.2397014,0.00224617,-0.03786523
0.011631983,0.24065025,0.004392656,-0.016372148
0.0275679,0.24081142,0.004836835,-0.014581096
-0.005849367,0.24026717,-0.00268902,-0.015528691
0.002152934,0.24000788,0.000964836,0.017993484
0.018792564,0.23954731,-0.006027183,0.028942423
0.01254607,0.23954858,-0.010821767,0.024286153
0.003967046,0.24058534,-0.00490076,0.01920989
0.024515294,0.24096239,-0.010639788,0.0175947
-0.006350556,0.24040587,-0.003563318,0.026365245
-0.01137469,0.23937637,-0.002823582,0.039349232
0.02780341,0.23943305,-0.011270973,0.024565933
-0.010853712,0.2386682,-0.006287413,-0.027955852
0.0025213,0.23919636,-0.013412179,-0.010435404
0.017895907,0.23913653,-0.009495999,-0.005482821
0.034657452,0.23990282,0.004603771,-0.020668259
-0.009338516,0.2403808,-0.012414102,-0.033828836
0.007597382,0.23997137,0.009397829,-0.010830618
0.006562434,0.24010535,0.005660445,-0.010990526
-0.000980774,0.24046491,0.009899325,-0.023561163
0.00571772,0.24052963,-0.006364028,-0.017626822
0.032775555,0.24007511,-0.001792152,-0.01040874
-0.0171049,0.240556,-0.000532296,0.004773852
-0.003086633,0.24007934,-0.000679305,0.017985687
0.03122944,0.2404732,-0.004117284,0.02492567
0.029846579,0.240442,-0.008136947,-0.01047867
-0.029559445,0.24072647,0.001933113,0.006985853
0.05142481,0.24084465,-0.009944196,0.0336257
0.013380774,0.24012205,-0.004135272,0.02759188
0.03595036,0.24045269,0.006269971,-0.009687841
-0.014218972,0.24107558,-0.002092256,0.005114934
