gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,mag_x,mag_y,mag_z
0.066419244,-0.024927188,-0.007243799,-0.048362877,0.3227384,-9.937374,0.6761299,0.31770122,0.3620774,-0.22428347,-0.014530726,1.1799749
0.06636597,-0.023329291,-0.005965481,-0.05746084,0.23798366,-9.919657,0.67631966,0.31755957,0.36234534,-0.2212326,-0.014530726,1.174005
0.007989483,-0.017576864,-0.03073288,0.10821792,-0.23558944,-11.182359,0.6780701,0.31633067,0.36419794,-0.21207997,-0.008577991,1.1620654
0.35521245,-0.4027765,-0.024820663,-3.1057587,6.936481,5.4123325,0.6794467,0.31562787,0.36583546,-0.14190981,-0.02048346,1.0486386
0.87149286,-0.043782372,0.081812315,4.0021477,6.732974,4.2693405,0.680844,0.31502652,0.36748704,-0.15411331,0.2354841,0.66656905
-0.23307987,-0.6627543,0.16666062,1.1142615,-0.98258036,-8.236053,0.6826887,0.31425783,0.36810356,-0.047332626,0.25036594,0.64865965
-0.7520767,0.6866695,0.13869743,11.697592,3.4931402,-0.96821517,0.68426996,0.3135764,0.36857298,-0.12360454,0.37239698,0.6068707
0.13805827,-0.13331784,-0.09150622,1.2100295,-12.320562,-8.651209,0.6830491,0.3140849,0.36916038,-0.056485254,0.24738957,0.64865965
0.01768339,-0.06924219,0.17688717,-4.5571237,-6.847417,-7.0035186,0.6815742,0.31464988,0.37030154,-0.062587,0.06880755,0.69044846
-0.32740903,-0.03797668,0.029401299,3.095703,-13.585179,13.519099,0.6844963,0.31163782,0.37239677,-0.03207824,0.11940578,0.77402616
0.62802666,0.5641641,0.05629923,0.20733786,-9.380961,-33.870293,0.6876163,0.30854604,0.37449667,0.004532278,0.059878446,0.7501468
-0.12815131,0.043409526,0.21012342,-10.289801,-18.893126,1.2660538,0.6891502,0.30717427,0.37782907,0.111312956,0.17893311,0.8635736
-0.95064205,0.123730466,-0.15675367,-8.034462,-10.35205,-20.805134,0.68990815,0.30641168,0.38115647,-0.013772981,0.14916945,0.6814937
0.013795175,-0.09944244,-0.006764429,-5.5588574,-2.8907592,-14.652514,0.69253623,0.30600008,0.38399416,0.01978666,0.14321671,0.75910157
1.065957,0.12852415,-0.056352492,-5.9663506,12.995727,-21.994095,0.6952419,0.30546215,0.38642463,0.007583154,0.03904388,0.77402616
0.08420916,-0.14098775,-0.08825716,6.496427,-12.786474,0.64451915,0.69794875,0.30255654,0.38821173,-0.022925612,0.1253585,0.7650714
0.055819858,0.02860235,0.07962852,0.11204864,12.824781,-8.711063,0.70101386,0.29855752,0.39071804,-0.016823858,0.15809855,0.779996
0.33337453,0.16255936,0.1165932,9.455181,1.4633361,-19.631975,0.70235354,0.29632688,0.39346606,-0.06563788,0.17000401,0.7232826
-0.24000409,-0.18812571,-0.03536678,8.376833,2.4396915,-5.3649273,0.7036906,0.2937941,0.3963589,-0.07173964,0.19083858,0.6994032
1.940539,0.11680625,-0.06764429,-10.87207,-7.103118,-10.627383,0.703184,0.2929664,0.39911145,-0.11140103,0.27715322,0.6009009
1.1359447,0.15899073,-0.015765915,-4.1457996,-4.606444,12.010753,0.7026184,0.29260954,0.4015369,-0.12970631,0.25036594,0.45762488
0.651569,-0.39835566,-0.04410195,-1.1209652,2.0020316,-5.386954,0.70399475,0.29142717,0.40345648,-0.0503835,0.17595674,0.55314225
0.062477764,-0.4305799,0.23638219,-2.6748023,-8.627267,-14.449965,0.70373267,0.29069945,0.40368876,-0.13885891,0.17893311,0.6158255
-0.13427658,0.059708074,0.067697555,6.779422,3.7593756,4.02178,0.6997796,0.29166615,0.40166855,-0.27004662,0.095594846,0.53224784
0.5177718,-0.12841763,0.00181095,-1.5562311,-0.5688623,-13.627796,0.6919428,0.29292548,0.3914346,-0.15106243,0.18488584,0.633735
-0.34285536,0.050014168,-0.111160345,-14.773182,-1.430775,-28.738562,0.67930585,0.29455888,0.3637879,-0.10835015,0.17000401,0.63671994
-0.4463991,-0.22892535,0.16969663,-7.562804,9.762118,-18.748993,0.66422397,0.29604438,0.3292653,-0.074790515,0.25631866,0.59791607
0.14663365,-0.15590146,0.032969937,-2.5345018,-3.1316159,-0.5018247,0.65370274,0.2947792,0.2995521,-0.035129115,0.13726398,0.6456747
0.5808887,0.07920241,-0.08926916,0.45346183,17.527473,-16.904501,0.64432377,0.29266888,0.26790157,0.013684906,0.13428761,0.6994032
-0.5340171,0.32277513,-0.024394555,10.222283,-0.21787235,6.2191787,0.6396538,0.288302,0.24010397,-0.047332626,0.2801296,0.6814937
-0.9966615,0.5363074,-0.088150635,1.4470556,-14.368562,9.511206,0.6350775,0.2820063,0.20124726,-0.016823858,0.1610749,0.6964183
1.0508834,0.41055292,-0.22365227,-3.257072,15.554171,-21.825064,0.62845016,0.2813784,0.16631497,0.04419367,0.101547584,0.64865965
0.43228433,0.31292143,-0.14173344,10.238564,-10.016862,-26.55888,0.61813754,0.2838916,0.11748493,-0.004620352,0.17595674,0.76208645
0.6360694,-0.021092238,0.007669904,3.9882612,-0.80301523,-0.45250413,0.6159381,0.28698352,0.07157411,0.03809192,0.107500315,0.8337245
0.14769892,-0.08985505,-0.09161274,-11.828314,13.453977,0.4592079,0.61951315,0.28926975,0.020960554,-0.12970631,0.24738957,0.83073956
-0.20762005,-0.15377092,-0.038988683,4.7658978,-6.632417,8.931331,0.62777805,0.29560795,-0.021438234,-0.09614664,0.06880755,0.7919356
0.26162896,0.5894641,-0.23281355,-3.7383065,2.3697808,-12.508746,0.64646864,0.3026558,-0.052824296,-0.010722104,0.26524776,0.66358423
-0.48165932,0.602194,-0.16623452,-2.47752,14.276147,-46.869373,0.67867786,0.30836365,-0.05735735,-0.06563788,0.2890587,0.63671994
-1.2153069,-0.16309199,0.1979794,-4.4843397,-8.098627,23.144749,0.7194279,0.3143637,-0.039491605,-0.07173964,0.11345305,0.6158255
-0.15478294,-0.25369275,0.019014971,-11.816343,0.18052281,1.6199169,0.77641284,0.3207058,0.009242585,-0.056485254,0.14321671,0.6277652
