accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_c_x,gps_c_y,gps_c_z,gps_x,gps_y,gps_z,mag_x,mag_y,mag_z
0.40509892,-0.005267244,-9.90194,0.06572682,-0.025086978,-0.00809601,6370.891128,20.46938675,-31.1165378,-0.27983886,0.18408813,-2.8936362,-0.17241856,0.050949346,1.0098346
0.34715924,0.036391865,-9.902418,0.06668556,-0.018801916,-0.002663161,6370.890848,20.51084015,-31.14665347,-0.2801097,0.18446094,-2.8943343,-0.12360454,0.050949346,1.0038648
0.34141317,-2.4061728,-9.165962,0.009693907,-0.05225122,-0.014913702,6370.88878,20.83050446,-31.35677044,-0.28199935,0.18733583,-2.9006522,-0.14801155,0.047972977,0.99789494
-1.1018116,-10.110235,1.4494498,-0.7504788,-0.05070659,0.07387609,6370.886766,21.07686631,-31.60024544,-0.284189,0.18955149,-2.9067864,-0.06868876,0.036067512,0.8844681
-7.6853876,2.6867733,-27.827328,0.9827065,-0.012783174,0.22551648,6370.884012,21.14331459,-32.10718011,-0.28874803,0.19014916,-2.9129734,-0.15716419,0.2533423,0.67850876
-0.8724471,4.607402,-30.74155,0.6187589,0.08431568,-0.07084008,6370.881815,21.24670446,-32.4726142,-0.2920345,0.19107904,-2.9174302,-0.20902908,0.15809855,0.5650819
7.7462006,3.3423057,-6.0415287,-0.3787015,-0.000585895,0.21278657,6370.877536,21.79386503,-32.94621718,-0.29629377,0.19599994,-2.9212651,-0.2212326,0.15512218,0.46956453
2.666183,5.592376,-16.632519,1.8275145,0.06828345,0.3078082,6370.874437,22.17569149,-33.28889641,-0.2993756,0.19943391,-2.923741,-0.15716419,0.14321671,0.5143383
-5.0905514,9.548077,-13.088143,0.50376356,0.50115365,-0.019494342,6370.872715,22.32412735,-33.51839402,-0.30143955,0.20076889,-2.927225,-0.17546944,0.3247751,0.5083685
8.357201,-21.246626,-8.787199,-0.18216023,0.097684756,-0.088736534,6370.871618,22.47593342,-33.62526532,-0.30240068,0.20213416,-2.9296691,0.11741471,0.030114777,0.7829809
1.829649,-4.1525035,-7.36648,0.31920648,0.098110855,0.11584751,6370.870786,22.73607013,-33.60802145,-0.3022456,0.20447367,-2.9323742,0.03504104,0.1610749,0.7919356
