gyro_rad[0],hover_thrust,xyz[0],gyro_rad[1]
0.010323098,0.28520566,-7.41E-05,0.000547603
0.009764668,0.20695822,-6.39E-05,-0.001514276
0.009520223,0.21447645,0.000564525,-0.001300257
0.010424009,0.20494463,0.000502466,-0.000532305
0.011247782,0.2116004,0.000534548,-0.000870841
0.010265849,0.22286966,0.00890035,-0.000619089
0.01057646,0.22482246,-0.014522902,-0.000199578
0.009090655,0.23430564,0.012760786,-0.001092864
0.011319717,0.2373219,0.00710029,-0.000865753
0.010464155,0.24234314,-0.022754418,-0.000565697
0.010764434,0.2407346,0.00742141,-0.001322573
0.010808619,0.24152032,0.022075118,-0.000323913
0.010428769,0.24473245,-0.02542136,-0.000491538
0.009490459,0.246196,0.00763511,-0.00055825
0.002552399,0.24822009,0.013194425,-0.006107231
0.024209565,0.24878947,-0.01164775,-0.004963275
0.015433424,0.24768536,-0.011330295,0.009499092
0.018294992,0.24788731,0.005146035,0.000432314
-0.002773429,0.24687664,0.00082395,-0.013593755
0.002180736,0.24701111,0.003289067,-0.001296853
-0.018503228,0.24828544,0.009509072,0.04111581
0.015766742,0.24842247,0.002549378,-0.064563975
0.000730987,0.24790663,-0.002964554,0.03262736
0.02163601,0.24866763,-0.013638227,0.009841402
0.03688323,0.25224316,-0.007220259,-0.029294703
0.009405149,0.25180006,0.001724072,-0.007367442
0.029956412,0.2527522,0.00068125,0.007858464
0.015073976,0.25177357,0.011384037,-0.022891236
0.016641805,0.2514678,0.007796439,-0.006243686
0.030043717,0.25165838,-0.000938198,-0.022666775
-0.028274784,0.25250804,0.001130945,-0.01280891
-0.014196621,0.254599,-0.002769406,-0.000187585
0.006706495,0.2549688,-0.006623261,-0.019562813
-0.031394996,0.2553729,-0.003538669,0.01111279
0.0171744,0.2567786,-0.00431781,0.010644915
-0.003253364,0.25848183,-0.003624567,0.011462524
0.018155636,0.25850576,0.001570202,-0.013512967
0.02589434,0.25978056,0.0009575,-0.000158693
0.027610105,0.25928375,0.006686398,0.009408166
0.04335802,0.26089948,0.003213293,0.015797399
0.024158416,0.26237217,-0.003014189,0.016323328
0.022141173,0.26198477,0.004257761,0.033966262
-0.002178144,0.26190653,0.002110495,-0.000223559
-0.013126394,0.26211986,-0.010026859,-0.028026238
-0.012846051,0.26262027,-0.002560623,-0.00438962
-0.020266652,0.26372305,-0.004196081,0.010104705
-0.007163377,0.2627222,-5.66E-05,-0.004928887
0.019208621,0.2639417,0.007359359,-0.023854414
0.014560808,0.26566765,0.00224617,-0.029372847
0.020039726,0.26734462,0.004392656,-0.022825442
0.022138879,0.26796883,0.004836835,0.001544988
0.02070402,0.26811838,-0.00268902,0.004512164
0.035088334,0.26756608,0.000964836,-0.017505532
0.010783775,0.26774952,-0.006027183,-0.020849055
0.007720788,0.26813713,-0.010821767,-0.007390475
-0.004478725,0.26855126,-0.00490076,0.030251415
-0.004097843,0.26876682,-0.010639788,0.0415243
0.023354659,0.26764345,-0.003563318,0.00105633
-0.007315668,0.26784313,-0.002823582,-0.01778991
0.005788089,0.26746488,-0.011270973,-0.001092501
-0.010976468,0.2684053,-0.006287413,0.022916961
-0.0015847,0.26826224,-0.013412179,0.021146573
0.04717342,0.26844,-0.009495999,-0.015476904
0.016778443,0.26898375,0.004603771,-0.032209415
0.022376824,0.26973152,-0.012414102,-0.003747916
0.003094156,0.27018777,0.009397829,0.020852357
-0.004851679,0.26968265,0.005660445,-0.002035682
0.033576544,0.26928347,0.009899325,-0.04229192
0.012310595,0.26996988,-0.006364028,-0.042019907
-0.012865302,0.27004084,-0.001792152,0.021731706
0.003554782,0.2693222,-0.000532296,0.034295294
0.010824028,0.27057752,-0.000679305,-0.01258023
0.012761562,0.2709099,-0.004117284,-0.026825022
0.009839552,0.27145612,-0.008136947,-0.014304812
-0.016977666,0.27081376,0.001933113,0.025242789
-0.000715538,0.27151218,-0.009944196,0.041514542
0.048032634,0.27201304,-0.004135272,-0.010596896
0.012193973,0.2715807,0.006269971,-0.031711552
0.017619437,0.271432,-0.002092256,0.011590539
-0.006166235,0.27205697,-0.010611242,0.037133694
0.001720765,0.2724156,0.01536037,0.006001516
0.034318127,0.27267468,-0.006765288,-0.030648898
0.020263923,0.27303004,-0.002077594,-0.022464868
-0.017325789,0.2725889,0.00753468,0.036604423
0.014706167,0.2730119,-0.001460561,0.027674599
0.009785237,0.27211702,-0.006649437,-0.027666112
0.030779084,0.2714538,-0.003167674,-0.036000557
-0.010661287,0.27238485,-0.002044245,-0.005613261
-0.006108712,0.27241945,-0.028971763,0.015864432
0.011702985,0.27241936,-0.0165894,0.025897924
0.013398465,0.27199185,-0.0236663,-0.032713305
0.045311134,0.27229246,-0.006625963,-0.039443135
-0.02568386,0.272136,0.008695444,0.027873207
0.00476478,0.27189273,-0.06460134,0.024011107
0.02750106,0.27177802,-0.016962392,-0.011941455
0.024540871,0.27242485,0.015260028,-0.018543055
0.001076505,0.27264276,-0.05524331,-0.000854946
0.001513064,0.272834,-0.06306692,0.020957392
0.007641223,0.2729018,-0.06586376,0.02365637
0.008082305,0.27310166,-0.082734376,-0.016943391
0.030852143,0.27306437,-0.06727084,-0.026236614
-0.01789813,0.272808,-0.08492047,0.017117066
-0.002091739,0.27309233,-0.10335375,0.03378281
0.03808007,0.27263623,-0.17658484,-0.010192832
0.010325088,0.27297625,-0.17201942,-0.03162785
0.013686682,0.27284414,-0.06811015,-0.009679675
-0.012767375,0.2730577,-0.14247338,0.02188896
0.008959967,0.27319324,-0.20184523,0.004982926
0.03685426,0.27338752,-0.12731281,-0.016890427
0.016657624,0.27285573,-0.064727515,-0.010763686
0.002692929,0.27330548,-0.10111485,-0.005390785
-0.001307473,0.2733682,-0.07844147,0.02060264
0.003351172,0.27353045,-0.021478655,0.005989541
0.01767204,0.27323273,0.056791723,-0.02087726
0.01853352,0.2741653,0.15189014,-0.000495966
-0.019288402,0.27428165,0.11276614,0.025503878
0.024658976,0.27439582,0.050207715,-0.012303289
0.023890613,0.27406365,0.06967395,-0.006570003
-0.001127655,0.27414155,0.10909713,-0.002964303
0.010318921,0.27417895,0.04485275,-0.006411863
-0.00144152,0.27441788,0.036550093,0.016233535
0.005890563,0.274437,0.18232584,0.002688426
0.04671771,0.27455962,0.044376943,-0.020056933
0.000116278,0.2744243,0.05636029,0.001252869
